"Add Tracking Number","Add Tracking Number"
"All Done","All Done"
"Back","Back"
"Browse","Browse"
"Cancel and Re-Upload List","Cancel and Re-Upload List"
"Carrier","Carrier"
"Change Matching of Columns","Change Matching of Columns"
"Change Method of Import","Change Method of Import"
"Complete","Complete"
"Copy/Past from Excel","Copy/Past from Excel"
"Customer Notification","Customer Notification"
"Custom Value","Custom Value"
"Default Tracking Number","Default Tracking Number"
"Delete","Delete"
"Delete Unnamed Columns","Delete Unnamed Columns"
"Edit","Edit"
"Error","Error"
"File types accepted:","File types accepted:"
"For all records","For all records"
"For missed carriers","For missed carriers"
"Import<br/><span class='subtext'>Copy/Past from Excel</span>","Import<br/><span class='subtext'>Copy/Past from Excel</span>"
"Import from CSV","Import from CSV"
"Import info","Import info"
"Import List","Import List"
"Import Shipping Data","Import Shipping Data"
"Internal error: Row couldn't be found while process Parent.","Internal error: Row couldn't be found while process Parent."
"Item Quantity","Item Quantity"
"Item SKU","Item SKU"
"Let's match the columns in your uploaded list to your Shipping Data.","Let's match the columns in your uploaded list to your Shipping Data."
"Loading...","Loading..."
"Mass Shipping","Mass Shipping"
"Match carrier & done","Match carrier & done"
"Match Carrier Type","Match Carrier Type"
"Match columns","Match columns"
"Name This Column","Name This Column"
"Next","Next"
"OK","OK"
"Ooops. There are no data.","Ooops. There are no data."
"Order # is required to be matched.","Order # is required to be matched."
"Order #","Order #"
"Orders Processed","Orders Processed"
"Paste Your List","Paste Your List"
"Please select file with data.","Please select file with data."
"Process error: Could not find item data for '%s'","Process error: Could not find item data for '%s'"
"Process error: Could not find item with sku %s","Process error: Could not find item with sku %s"
"Process error: Item with SKU '%s' can not be shipped for requested quantity.","Process error: Item with SKU '%s' can not be shipped for requested quantity."
"Process error: It's impossible to ship %s items for %s","Process error: It's impossible to ship %s items for %s"
"Process error: Order is not found.","Process error: Order is not found."
"Process","Process"
"Ready to Go","Ready to Go"
"Report","Report"
"Select a method","Select a method"
"Send Email","Send Email"
"Show short report","Show short report"
"Sorry. Can't continue.","Sorry. Can't continue."
"%s row(s) was failed with some errors - %s","%s row(s) was failed with some errors - %s"
"%s row(s) was successfully processed - %s","%s row(s) was successfully processed - %s"
"%s row(s) was unprocessed - %s","%s row(s) was unprocessed - %s"
"<strong>Almost done.</strong> Now let's match the carrier types in your uploaded list to your Shipping Data.","<strong>Almost done.</strong> Now let's match the carrier types in your uploaded list to your Shipping Data."
"Title","Title"
"Track Carrier is not defined.","Track Carrier is not defined."
"Track Number","Track Number"
"Type '%s' is not allowed.","Type '%s' is not allowed."
"Unknown upload error","Unknown upload error"
"Unnamed Column","Unnamed Column"
"Upload File<br/><span class='subtext'>Import from CSV</span>","Upload File<br/><span class='subtext'>Import from CSV</span>"
"Upload File","Upload File"
"Won't be imported","Won't be imported"
"Wrong data file was provided.","Wrong data file was provided."
"Wrong data was provided.","Wrong data was provided."
"You have some unresolved columns.","You have some unresolved columns."
"Your Last Session was started at %s. But it wasn't completed for a some reason. Do you want to compete the process? - %s","Your Last Session was started at %s. But it wasn't completed for a some reason. Do you want to compete the process? - %s"
"Your Last Session was successful completed at %s","Your Last Session was successful completed at %s"
"You still have some unmatched carrier type.","You still have some unmatched carrier type."
